precinct_code,race_description,cand_name,cand_tot_votes,county_name
40033,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,154,BEAVER
40033,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,375,BEAVER
50111,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,227,BECKHAM
50111,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,590,BECKHAM
50112,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,109,BECKHAM
50112,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,245,BECKHAM
50115,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,38,BECKHAM
50115,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,132,BECKHAM
50141,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,223,BECKHAM
50141,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,523,BECKHAM
50231,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,84,BECKHAM
50231,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,320,BECKHAM
50232,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,29,BECKHAM
50232,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,85,BECKHAM
50235,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,513,BECKHAM
50235,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,1364,BECKHAM
50242,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,65,BECKHAM
50242,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,256,BECKHAM
50320,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,152,BECKHAM
50320,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,369,BECKHAM
50330,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,90,BECKHAM
50330,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,325,BECKHAM
50332,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,271,BECKHAM
50332,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,707,BECKHAM
50333,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,263,BECKHAM
50333,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,599,BECKHAM
50343,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,38,BECKHAM
50343,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,128,BECKHAM
60002,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,123,BLAINE
60002,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,536,BLAINE
60007,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,160,BLAINE
60007,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,481,BLAINE
60010,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,108,BLAINE
60010,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,214,BLAINE
60011,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,117,BLAINE
60011,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,147,BLAINE
60012,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,281,BLAINE
60012,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,677,BLAINE
60016,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,34,BLAINE
60016,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,119,BLAINE
60017,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,192,BLAINE
60017,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,302,BLAINE
60020,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,46,BLAINE
60020,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,230,BLAINE
60022,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,4,BLAINE
60022,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,47,BLAINE
70003,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,315,BRYAN
70003,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,467,BRYAN
70004,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,273,BRYAN
70004,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,541,BRYAN
70005,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,353,BRYAN
70005,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,546,BRYAN
70008,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,359,BRYAN
70008,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,547,BRYAN
70010,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,146,BRYAN
70010,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,379,BRYAN
70011,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,55,BRYAN
70011,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,159,BRYAN
70013,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,144,BRYAN
